num_distr	fixation.started	mouse.started	target.started	fixation.stopped	mouse.x	mouse.y	mouse.time	mouse.clicked_name
5	137.4131726	0.023647			[-0.005555555555555556]	[-0.11666666666666667]	[0.13331230000039795]	[]
5	137.5732394	0.0208589	138.0539819	138.0874206	[0.07592592592592592]	[0.14722222222222223]	[0.8221132000035141]	[]
5	138.4234302	0.021145			[0.07592592592592592]	[0.14722222222222223]	[0.453843199997209]	[]
10	138.9165983	0.0283277			[0.07592592592592592]	[0.14722222222222223]	[0.4474024000010104]	[]
5	139.3784872	0.012996			[0.07592592592592592]	[0.14722222222222223]	[0.43280289999529487]	[]
10	139.8589124	0.0369272			[0.07592592592592592]	[0.14722222222222223]	[0.422821499996644]	[]
5	140.3149638	0.024103			[0.07592592592592592]	[0.14722222222222223]	[0.45147430000361055]	[]
5	140.8032783	0.0270285			[0.07592592592592592]	[0.14722222222222223]	[0.35980530000233557]	[]
10	141.2069478	0.0343416	141.68319	141.720968	[0.07592592592592592]	[0.14722222222222223]	[0.7047642999968957]	[]
5	141.9307996	0.0143355	142.4224504	142.4396223	[0.07592592592592592]	[0.14722222222222223]	[0.567238499999803]	[]
10	142.5411892	0.0315648	143.0108287	143.0450428	[-0.2777777777777778]	[-0.21851851851851853]	[2.719718499996816]	[]
10	145.3055864	0.0350288	145.7606325	145.8106367	[-0.2777777777777778]	[-0.21851851851851853]	[0.6483676999996533]	[]
5	145.9884497	0.0270793	146.4578538	146.4911894	[-0.2777777777777778]	[-0.21851851851851853]	[0.5327422999980627]	[]
10	146.5591589	0.0315158			[-0.2777777777777778]	[-0.21851851851851853]	[0.3604553999975906]	[]
10	146.955414	0.0298106			[-0.2777777777777778]	[-0.21851851851851853]	[0.41516389999742387]	[]
5	147.3939606	0.019761	147.8773381	147.891708	[-0.2777777777777778]	[-0.21851851851851853]	[0.5744038000048022]	[]
10	148.0137834	0.0366134	148.4763729	148.5252963	[0.19907407407407407]	[0.017592592592592594]	[0.872778400000243]	[]
5	148.921265	0.0250186	149.3922728	149.4257431	[0.19907407407407407]	[0.017592592592592594]	[1.0180538999993587]	[]
10	149.9814007	0.036979	150.4493397	150.4874219	[0.19907407407407407]	[0.017592592592592594]	[0.7764567999984138]	[]
5	150.7960464	0.0274175	151.2596674	151.2926268	[0.19907407407407407]	[0.017592592592592594]	[0.6601253999979235]	[]
10	151.4987472	0.0369472	151.9598496	152.0124854	[0.19907407407407407]	[0.017592592592592594]	[0.6241845000040485]	[]
10	152.1703291	0.0397765	152.6274555	152.6777549	[0.19907407407407407]	[0.017592592592592594]	[0.5372801999983494]	[]
10	152.744731	0.0285252	153.2186594		[0.19907407407407407]	[0.017592592592592594]	[0.4863891999993939]	[]
5	153.2557388	0.0188875			[0.19907407407407407]	[0.017592592592592594]	[0.44753789999958826]	[]
10	153.7487349	0.036343	154.2132395	154.2607355	[0.19907407407407407]	[0.017592592592592594]	[0.5225135000000591]	[]
5	154.2916152	0.0172605	154.8201122		[0.19907407407407407]	[0.017592592592592594]	[0.47819780000281753]	[]
10	154.8201122	0.0400395			[0.19907407407407407]	[0.017592592592592594]	[0.43508660000225063]	[]
10	155.2970988	0.0345578	155.768645	155.7975511	[0.19907407407407407]	[0.017592592592592594]	[0.5273754000008921]	[]
10	155.8520535	0.0260432	156.3328162	156.3633748	[0.19907407407407407]	[0.017592592592592594]	[0.5219116000007489]	[]
10	156.4140536	0.0311163			[0.19907407407407407]	[0.017592592592592594]	[0.2784503000002587]	[]
10	156.7159748	0.0235597	157.1823868	157.2285329	[0.19907407407407407]	[0.017592592592592594]	[0.6067720999999437]	[]
10	157.35209	0.024036	157.8333223		[0.19907407407407407]	[0.017592592592592594]	[0.4920507999995607]	[]
5	157.8739426	0.0235823			[0.19907407407407407]	[0.017592592592592594]	[0.4146598000006634]	[]
10	158.3383947	0.040006	158.7887071		[0.19907407407407407]	[0.017592592592592594]	[0.4608762999996543]	[]
10	158.8482885	0.0390096			[0.19907407407407407]	[0.017592592592592594]	[0.43144610000308603]	[]
5	159.3096922	0.0266282			[0.19907407407407407]	[0.017592592592592594]	[0.3801699999967241]	[]
5	159.7274889	0.0264193	160.1963717		[0.19907407407407407]	[0.017592592592592594]	[0.48253319999639643]	[]
5	160.2387233	0.0247782			[0.19907407407407407]	[0.017592592592592594]	[0.350129400001606]	[]
5	160.6190685	0.0223967			[0.19907407407407407]	[0.017592592592592594]	[0.3699027999973623]	[]
10	161.0343706	0.0354684			[0.19907407407407407]	[0.017592592592592594]	[0.37402599999768427]	[]
10	161.4574242	0.0407068			[0.19907407407407407]	[0.017592592592592594]	[0.302827100000286]	[]
5	161.7838285	0.0190547			[0.19907407407407407]	[0.017592592592592594]	[0.3238765999994939]	[]
5	162.1444331	0.0259728	162.6139395	162.6468996	[0.19907407407407407]	[0.017592592592592594]	[0.5499502999955439]	[]
5	162.7244456	0.0259372			[0.19907407407407407]	[0.017592592592592594]	[0.3159970000051544]	[]
10	163.0912577	0.0395911			[0.19907407407407407]	[0.017592592592592594]	[0.28897809999762103]	[]
5	163.4157332	0.0245638			[0.19907407407407407]	[0.017592592592592594]	[0.27907580000464804]	[]
10	163.7244102	0.0263207	164.2008977	164.2342608	[0.19907407407407407]	[0.017592592592592594]	[0.5867297000004328]	[]
10	164.356459	0.0373304			[0.19907407407407407]	[0.017592592592592594]	[0.3576879999964149]	[]
5	164.7509047	0.0266812	165.2149338	165.2649243	[0.19907407407407407]	[0.017592592592592594]	[0.5606021999992663]	[]
